id;ID_Segment;Lenght;distance;angle;Nom;Lat;Long;Rayon
1;T1;;0.000000000000000;110.606911487749684;Matexi Beton-Lemaire;50.6624301700;4.5691180480;50
1;T1;;10.000000000000000;110.606911487749684;Matexi Beton-Lemaire;50.6623983000;4.5692503020;50
1;T1;;20.000000000000000;110.606911487749684;Matexi Beton-Lemaire;50.6623664300;4.5693825560;50
1;T1;;30.000000000000000;110.606911487749684;Matexi Beton-Lemaire;50.6623345600;4.5695148090;50
1;T1;;40.000000000000000;110.606911487749684;Matexi Beton-Lemaire;50.6623026900;4.5696470630;50
1;T1;;50.000000000000000;110.606911487749684;Matexi Beton-Lemaire;50.6622708200;4.5697793160;50
1;T1;;60.000000000000000;110.606911487749684;Matexi Beton-Lemaire;50.6622389600;4.5699115690;50
1;T1;;70.000000000000000;110.606911487749684;Matexi Beton-Lemaire;50.6622070900;4.5700438220;50
1;T1;;80.000000000000000;110.606911487749684;Matexi Beton-Lemaire;50.6621752200;4.5701760740;50
1;T1;;90.000000000000000;110.606911487749684;Matexi Beton-Lemaire;50.6621433500;4.5703083270;50
1;T1;;100.000000000000000;110.606911487749684;Matexi Beton-Lemaire;50.6621114800;4.5704405790;50
1;T1;;110.000000000000000;110.606911487749684;Matexi Beton-Lemaire;50.6620796100;4.5705728310;50
1;T1;;120.000000000000000;110.606911487749684;Matexi Beton-Lemaire;50.6620477400;4.5707050830;50
1;T1;;130.000000000000000;110.606911487749684;Matexi Beton-Lemaire;50.6620158700;4.5708373350;50
1;T1;;140.000000000000000;110.606911487749684;Matexi Beton-Lemaire;50.6619840000;4.5709695860;50
1;T1;;150.000000000000000;110.606911487749684;Matexi Beton-Lemaire;50.6619521300;4.5711018380;50
1;T1;;160.000000000000000;110.606911487749684;Matexi Beton-Lemaire;50.6619202600;4.5712340890;50
1;T1;;170.000000000000000;110.606911487749684;Matexi Beton-Lemaire;50.6618883900;4.5713663400;50
1;T1;;180.000000000000000;110.606911487749684;Matexi Beton-Lemaire;50.6618565200;4.5714985910;50
1;T1;;190.000000000000000;110.606911487749684;Matexi Beton-Lemaire;50.6618246400;4.5716308420;50
1;T1;;200.000000000000000;110.606911487749684;Matexi Beton-Lemaire;50.6617927700;4.5717630920;50
1;T1;;210.000000000000000;110.606911487749684;Matexi Beton-Lemaire;50.6617609000;4.5718953420;50
1;T1;;220.000000000000000;110.606911487749684;Matexi Beton-Lemaire;50.6617290300;4.5720275930;50
1;T1;;230.000000000000000;110.606911487749684;Matexi Beton-Lemaire;50.6616971600;4.5721598420;50
1;T1;;240.000000000000000;135.000000000000000;Matexi Beton-Lemaire;50.6616409400;4.5722672510;50
1;T1;;250.000000000000000;135.000000000000000;Matexi Beton-Lemaire;50.6615771900;4.5723669860;50
1;T1;;260.000000000000000;135.000000000000000;Matexi Beton-Lemaire;50.6615134500;4.5724667210;50
1;T1;;270.000000000000000;135.000000000000000;Matexi Beton-Lemaire;50.6614497100;4.5725664560;50
1;T1;;280.000000000000000;135.000000000000000;Matexi Beton-Lemaire;50.6613859700;4.5726661900;50
1;T1;;290.000000000000000;135.000000000000000;Matexi Beton-Lemaire;50.6613222200;4.5727659240;50
1;T1;;300.000000000000000;135.000000000000000;Matexi Beton-Lemaire;50.6612584800;4.5728656580;50
1;T1;;310.000000000000000;135.000000000000000;Matexi Beton-Lemaire;50.6611947400;4.5729653920;50
2;T2;;0.000000000000000;200.426024763101481;Matexi Beton-Lemaire;50.6620312100;4.5707616320;50
2;T2;;10.000000000000000;200.426024763101481;Matexi Beton-Lemaire;50.6619470500;4.5707119090;50
2;T2;;20.000000000000000;200.426024763101481;Matexi Beton-Lemaire;50.6618628900;4.5706621860;50
2;T2;;30.000000000000000;200.426024763101481;Matexi Beton-Lemaire;50.6617787200;4.5706124630;50
2;T2;;40.000000000000000;200.426024763101481;Matexi Beton-Lemaire;50.6616945600;4.5705627410;50
2;T2;;50.000000000000000;200.426024763101481;Matexi Beton-Lemaire;50.6616104000;4.5705130180;50
2;T2;;60.000000000000000;199.203973505458521;Matexi Beton-Lemaire;50.6615258800;4.5704648440;50
2;T2;;70.000000000000000;199.203973505458521;Matexi Beton-Lemaire;50.6614410700;4.5704179570;50
2;T2;;80.000000000000000;199.203973505458521;Matexi Beton-Lemaire;50.6613562500;4.5703710700;50
2;T2;;90.000000000000000;192.425942865428794;Matexi Beton-Lemaire;50.6612707800;4.5703277800;50
2;T2;;100.000000000000000;192.425942865428794;Matexi Beton-Lemaire;50.6611830400;4.5702969700;50
2;T2;;110.000000000000000;192.425942865428794;Matexi Beton-Lemaire;50.6610953000;4.5702661610;50
2;T2;;120.000000000000000;192.425942865428794;Matexi Beton-Lemaire;50.6610075600;4.5702353510;50
2;T2;;130.000000000000000;192.425942865428794;Matexi Beton-Lemaire;50.6609198200;4.5702045420;50
2;T2;;140.000000000000000;192.425942865428794;Matexi Beton-Lemaire;50.6608320800;4.5701737320;50
2;T2;;150.000000000000000;192.425942865428794;Matexi Beton-Lemaire;50.6607443400;4.5701429230;50
2;T2;;160.000000000000000;192.696980241374547;Matexi Beton-Lemaire;50.6606566800;4.5701115690;50
2;T2;;170.000000000000000;192.696980241374547;Matexi Beton-Lemaire;50.6605690300;4.5700801070;50
2;T2;;180.000000000000000;201.370622269343158;Matexi Beton-Lemaire;50.6604828800;4.5700410260;50
2;T2;;190.000000000000000;201.370622269343158;Matexi Beton-Lemaire;50.6603992500;4.5699891300;50
3;T3;;0.000000000000000;20.250633509276962;Matexi Beton-Lemaire;50.6620328000;4.5707674370;50
